name,name_lc,name_lc_metaphone,name_lc_arpabet
Abdiwali Abdiqadir Muse,abdiwali abdiqadir muse,ABTWL ABTKTR MS,AE2BDIH0WAA1LIY0 AE0BDIH1KAH0VER0 MYUW1Z
Abdou Razack Traoré,abdou razack traoré,ABT RSK TRR,AE0BDUW1 RAA1ZAE0K TRAO1R
Abdul Aziz Al Ghurair,abdul aziz al ghurair,ABTL ASS AL KHRR,AE0BDUW1L AH0ZIY1Z AE1L GIH0REY1R
Abdul Basit Abdus Samad,abdul basit abdus samad,ABTL BST ABTS SMT,AE0BDUW1L BAA1SIH0T AE1BDAH0S SAE1MAH0D
Abdul Hadi Awang,abdul hadi awang,ABTL HT AWNK,AE0BDUW1L HHAA1DIY0 AO1AH0NG
Abdul Halim Khaddam,abdul halim khaddam,ABTL HLM KHTM,AE0BDUW1L HHAE1LIH0M KAE1DAH0M
Abdul Halim of Kedah,abdul halim of kedah,ABTL HLM OF KT,AE0BDUW1L HHAE1LIH0M AH1V KIY1DAH0
Abdul Jeleel Ajagun,abdul jeleel ajagun,ABTL JLL AJKN,AE0BDUW1L JHAH0LIY1L AH0JHAA1GAH0N
Abdul Kader Keïta,abdul kader keïta,ABTL KTR KT,AE0BDUW1L KEY1DER0 KIY1TAH0
Abdul Karim Telgi,abdul karim telgi,ABTL KRM TLJ,AE0BDUW1L KER0IY1M TEH1LGIY0
Abdul Nazer Mahdani,abdul nazer mahdani,ABTL NSR MTN,AE0BDUW1L NEY1ZER0 MAA0DAA1NIY0
Abdul Qadeer Khan,abdul qadeer khan,ABTL KTR KHN,AE0BDUW1L KAH0DIY1R KAA1N
Abdul Rahman Al Ghafiqi,abdul rahman al ghafiqi,ABTL RMN AL KHFK,AE0BDUW1L RAA1MAH0N AE1L GAH0FIH1CHIY0
Abdul Rahman Al-Sudais,abdul rahman al-sudais,ABTL RMN ALSTS,AE0BDUW1L RAA1MAH0N AA0LZUW0DAA1SIY0
Abdul Rahman Arif,abdul rahman arif,ABTL RMN ARF,AE0BDUW1L RAA1MAH0N EH1RIH0F
Abdul Rahman Dahlan,abdul rahman dahlan,ABTL RMN TLN,AE0BDUW1L RAA1MAH0N DAA1LAH0N
Abdul Rahman Ghassemlou,abdul rahman ghassemlou,ABTL RMN KHSML,AE0BDUW1L RAA1MAH0N GAE1SAH0MAH0L
Abdul Rahman bin Faisal,abdul rahman bin faisal,ABTL RMN BN FSL,AE0BDUW1L RAA1MAH0N BIH1N FEY1ZAH0L
Abdul Razak Hussein,abdul razak hussein,ABTL RSK HSN,AE0BDUW1L RAA1ZAH0K HHUW0SEY1N
Abdul Salam Arif,abdul salam arif,ABTL SLM ARF,AE0BDUW1L SAA0LAA1M EH1RIH0F
Abdul Sattar Edhi,abdul sattar edhi,ABTL STR ETH,AE0BDUW1L SAE1TER0 EH1DIY0
Abdul Taib Mahmud,abdul taib mahmud,ABTL TB MMT,AE0BDUW1L TAY1B MAE1MUW0D
"Abdul \""Duke\"" Fakir","abdul \""duke\"" fakir",ABTL TK FKR,AE0BDUW1L DUW1K FAH0KIH1R
Abdulaziz bin Abdullah bin Abdulaziz Al Saud,abdulaziz bin abdullah bin abdulaziz al saud,ABTLSS BN ABTL BN ABTLSS AL ST,AE0BDUW2LAH0ZIY1Z BIH1N AE2BDAH1LAH0 BIH1N AE0BDUW2LAH0ZIY1Z AE1L SAO1D
Abdullah Ahmad Badawi,abdullah ahmad badawi,ABTL AMT BTW,AE2BDAH1LAH0 AA1MAA0D BAA0DAA1WIY0
Abdullah I of Jordan,abdullah i of jordan,ABTL I OF JRTN,AE2BDAH1LAH0 AY1 AH1V JHAO1RDAH0N
Abdullah II of Jordan,abdullah ii of jordan,ABTL OF JRTN,AE2BDAH1LAH0 IY1 AH1V JHAO1RDAH0N
Abdullah Yusuf Ali,abdullah yusuf ali,ABTL YSF AL,AE2BDAH1LAH0 YUW1SAH0F AA1LIY0
Abdullah Yusuf Azzam,abdullah yusuf azzam,ABTL YSF ASM,AE2BDAH1LAH0 YUW1SAH0F AE1ZTAH0M
Abdullah bin Hamad bin Isa Al Khalifa,abdullah bin hamad bin isa al khalifa,ABTL BN HMT BN IS AL KHLF,AE2BDAH1LAH0 BIH1N HHAE1MAH0D BIH1N IY1SAH0 AE1L KAH0LIY1FAH0
Abdullah bin Khalifa Al Thani,abdullah bin khalifa al thani,ABTL BN KHLF AL 0N,AE2BDAH1LAH0 BIH1N KAH0LIY1FAH0 AE1L THAA1NIY0
