name,name_lc,name_lc_metaphone,name_lc_arpabet
Jonathan de Guzmán,jonathan de guzmán,JN0N T KSMN,JHAA1NAH0THAH0N DIY1 GAH1ZMAH0N
Joni Eareckson Tada,joni eareckson tada,JN ERKSN TT,JHOW1NIY0 IH1RKAH0N TAA1DAH0
Jonny Lee Miller,jonny lee miller,JN L MLR,JHAA1NIY0 LIY1 MIH1LER0
Joop van den Ende,joop van den ende,JP FN TN ENT,JHUW1P VAE1N DEH1N EH1ND
Joost van der Westhuizen,joost van der westhuizen,JST FN TR WS0SN,JHUW1ST VAE1N DER1 WEH1STHAH0ZWAH0NZ
Joran van der Sloot,joran van der sloot,JRN FN TR SLT,JHAO0RAA1N VAE1N DER1 SLUW1T
Jorge Ben Jor,jorge ben jor,JRJ BN JR,HHAO1RHHEY0 BEH1N JHAO1R
Jorge Eduardo Costilla Sánchez,jorge eduardo costilla sánchez,JRJ ETRT KSTL SNXS,HHAO1RHHEY0 EH0DWAA1RDOW0 KOW0STIH1LAH0 SAE1NCHEH0Z
Jorge Eliécer Gaitán,jorge eliécer gaitán,JRJ ELSR KTN,HHAO1RHHEY0 EH1LIY0SER0 GAY2TAA1N
Jorge Enrique Abello,jorge enrique abello,JRJ ENRK ABL,HHAO1RHHEY0 EH0NRIY1KEY0 AH0BEH1LOW0
Jorge Luis Borges,jorge luis borges,JRJ LS BRJS,HHAO1RHHEY0 LUW0IY1S BAO1RGEY0S
Jorge Luis Ochoa Vásquez,jorge luis ochoa vásquez,JRJ LS OX FSKS,HHAO1RHHEY0 LUW0IY1S AA2CHOW1AH0 VAE0SKEH1Z
Jorge Luis Pila,jorge luis pila,JRJ LS PL,HHAO1RHHEY0 LUW0IY1S PIY1LAH0
Jorge Molina Vidal,jorge molina vidal,JRJ MLN FTL,HHAO1RHHEY0 MAH0LIY1NAH0 VAY0DAE1L
Jorge Nuno Pinto da Costa,jorge nuno pinto da costa,JRJ NN PNT T KST,HHAO1RHHEY0 NUW1NOW0 PIH1NTOW2 DAA1 KAO1STAH0
Jorge Paulo Lemann,jorge paulo lemann,JRJ PL LMN,HHAO1RHHEY0 PAO1LOW0 LIY1MAH0N
Jorge Rafael Videla,jorge rafael videla,JRJ RFL FTL,HHAO1RHHEY0 RAA2FAY0EH1L VIY0DEH1LAH0
Jorge Torres Nilo,jorge torres nilo,JRJ TRS NL,HHAO1RHHEY0 TAO1REH2Z NIY1LOW0
Jose Antonio Vargas,jose antonio vargas,JS ANTN FRKS,HHOW2ZEY1 AE0NTOW1NIY0OW0 VAA1RGAH0S
Jose Chavez y Chavez,jose chavez y chavez,JS XFS XFS,HHOW2ZEY1 SHAA1VEH0Z WAY1 SHAA1VEH0Z
Jose Fernandes Torres,jose fernandes torres,JS FRNNTS TRS,HHOW2ZEY1 FER0NAA1NDEH0S TAO1REH2Z
Jose Mari Chan,jose mari chan,JS MR XN,HHOW2ZEY1 MAA1RIY0 CHAE1N
Jose Maria Sison,jose maria sison,JS MR SSN,HHOW2ZEY1 MER0IY1AH0 SIH1SAH0N
Jose Pablo Cantillo,jose pablo cantillo,JS PBL KNTL,HHOW2ZEY1 PAA1BLOW0 KAA0NTIH1LOW0
Josef Albert Meisinger,josef albert meisinger,JSF ALBRT MSNJR,JHOW1SAH0F AE1LBER0T MAY1SIH0NJHER0
Josef von Sternberg,josef von sternberg,JSF FN STRNBRK,JHOW1SAH0F VAO1N STER1NBER0G
Joseph A. Alutto,joseph a. alutto,JSF A ALT,JHOW1SAH0F AH0 . AH0LUW1TOW0
Joseph A. Bennett,joseph a. bennett,JSF A BNT,JHOW1SAH0F AH0 . BEH1NAH0T
Joseph A. Hardy III,joseph a. hardy iii,JSF A HRT ,JHOW1SAH0F AH0 . HHAA1RDIY0 IY1WIY0
Joseph A. Unanue,joseph a. unanue,JSF A UNN,JHOW1SAH0F AH0 . AH0NAE1NUW0
Joseph Anton Schneiderfranken,joseph anton schneiderfranken,JSF ANTN SXNTRFRNKN,JHOW1SAH0F AE1NTAO2N SHNAY1DER0AE2FNER0K
Joseph Arthur Ankrah,joseph arthur ankrah,JSF AR0R ANKR,JHOW1SAH0F AA1RTHER0 AE1NGKRAH0
Joseph Ayo Babalola,joseph ayo babalola,JSF AY BBLL,JHOW1SAH0F EY1OW0 BAA0BAA0LOW1AH0
Joseph B. Soloveitchik,joseph b. soloveitchik,JSF B SLFXK,JHOW1SAH0F BIY1 . SAH0LAA1VAH0CHIH0K
Joseph Banks Rhine,joseph banks rhine,JSF BNKS RHN,JHOW1SAH0F BAE1NGKS RAY1N
Joseph Bruno Slowinski,joseph bruno slowinski,JSF BRN SLWNSK,JHOW1SAH0F BRUW1NOW0 SLOW0IH1NSKIY0
Joseph C. Phillips,joseph c. phillips,JSF K FLPS,JHOW1SAH0F SIY1 . FIH1LIH0PS
Joseph Cyril Bamford,joseph cyril bamford,JSF SRL BMFRT,JHOW1SAH0F SIH1RAH0L BAE1MFER0D
Joseph D. Kucan,joseph d. kucan,JSF T KKN,JHOW1SAH0F DIY1 . KYUW1KAH0N
Joseph D. Pistone,joseph d. pistone,JSF T PSTN,JHOW1SAH0F DIY1 . PIY1STOW0N
Joseph D. Reitman,joseph d. reitman,JSF T RTMN,JHOW1SAH0F DIY1 . RAY1TMAH0N
Joseph E. Davies,joseph e. davies,JSF E TFS,JHOW1SAH0F IY1 . DEY1VIY0Z
Joseph E. Duncan III,joseph e. duncan iii,JSF E TNKN ,JHOW1SAH0F IY1 . DAH1NGKAH0N IY1WIY0
Joseph E. Howard,joseph e. howard,JSF E HWRT,JHOW1SAH0F IY1 . HHAW1ER0D
Joseph E. LeDoux,joseph e. ledoux,JSF E LTKS,JHOW1SAH0F IY1 . LIH0DUW1
Joseph E. Levine,joseph e. levine,JSF E LFN,JHOW1SAH0F IY1 . LAH0VIY1N
Joseph Fielding Smith,joseph fielding smith,JSF FLTNK SM0,JHOW1SAH0F FIY1LDIH0NG SMIH1TH
Joseph Force Crater,joseph force crater,JSF FRS KRTR,JHOW1SAH0F FAO1RS KREY1TER0
Joseph Li Shan,joseph li shan,JSF L XN,JHOW1SAH0F LIY1 SHAE1N
Joseph M. Acaba,joseph m. acaba,JSF M AKB,JHOW1SAH0F EH1M . AH0KAA1BAH0
Joseph M. Juran,joseph m. juran,JSF M JRN,JHOW1SAH0F EH1M . YUH0RAA1N
Joseph M. Schenck,joseph m. schenck,JSF M SXNK,JHOW1SAH0F EH1M . SHEH1NGK
Joseph Ma Yinglin,joseph ma yinglin,JSF M YNKLN,JHOW1SAH0F MAA1 YIH1NGGLIH0N
Joseph Maria Olbrich,joseph maria olbrich,JSF MR OLBRX,JHOW1SAH0F MER0IY1AH0 OW1LBRIH0K
Joseph McGinty Nichol,joseph mcginty nichol,JSF MKJNT NXL,JHOW1SAH0F MAH0GIH1NTIY0 NIH1KAO0L
Joseph N. Welch,joseph n. welch,JSF N WLX,JHOW1SAH0F EH1N . WEH1LCH
Joseph P. Farrell,joseph p. farrell,JSF P FRL,JHOW1SAH0F PIY1 . FEH1RIH0L
Joseph P. Kennedy,joseph p. kennedy,JSF P KNT,JHOW1SAH0F PIY1 . KEH1NAH0DIY0
Joseph P. Kennedy II,joseph p. kennedy ii,JSF P KNT ,JHOW1SAH0F PIY1 . KEH1NAH0DIY0 IY1
Joseph P. McFadden,joseph p. mcfadden,JSF P MKFTN,JHOW1SAH0F PIY1 . MAH0KFAE1DAH0N
Joseph P. Riley,joseph p. riley,JSF P RL,JHOW1SAH0F PIY1 . RAY1LIY0
Joseph Paul Franklin,joseph paul franklin,JSF PL FRNKLN,JHOW1SAH0F PAO1L FRAE1NGKLIH0N
Joseph Paul Jernigan,joseph paul jernigan,JSF PL JRNKN,JHOW1SAH0F PAO1L JHER1NIH0GAE0N
Joseph R. Gannascoli,joseph r. gannascoli,JSF R KNSKL,JHOW1SAH0F AA1R . GAA0NKAA0SOW1LIY0
Joseph S. Lacob,joseph s. lacob,JSF S LKB,JHOW1SAH0F EH1S . LAE1KAH0B
Joseph Saidu Momoh,joseph saidu momoh,JSF ST MM,JHOW1SAH0F SEY1DUW2 MAA1MOW0
Joseph Stephen Crane,joseph stephen crane,JSF STFN KRN,JHOW1SAH0F STIY1VAH0N KREY1N
Joseph T. McNarney,joseph t. mcnarney,JSF T MKNRN,JHOW1SAH0F TIY1 . MAH0KNAA1RNIY0
Joseph W. Sarno,joseph w. sarno,JSF SRN,JHOW1SAH0F DAH1BAH0LYUW0 . SAA1RNOW0
Joseph of Arimathea,joseph of arimathea,JSF OF ARM0,JHOW1SAH0F AH1V EH2RIH0MEH1THIY0AH0
Josh Quong Tart,josh quong tart,JX KNK TRT,JHAA1SH KWAO1NG TAA1RT
Josh Robert Thompson,josh robert thompson,JX RBRT 0MPSN,JHAA1SH RAA1BER0T TAA1MPSAH0N
Joshua Michael Stern,joshua michael stern,JX MXL STRN,JHAA1SHUW0AH0 MAY1KAH0L STER1N
Josip Broz Tito,josip broz tito,JSP BRS TT,JHOW1SAH0P BRAA1Z TIY1TOW0
Josué Anunciado de Oliveira,josué anunciado de oliveira,JS ANNXT T OLFR,JHOW1SUW2 AE2NAH0NSIY1DOW0 DIY1 AA2LIH0VEY1RAH0
José Alfredo Jiménez,josé alfredo jiménez,JS ALFRT JMNS,HHOW2ZEY1 AE2LFREY1DOW0 HHIH2MEH1NEH2Z
José Antonio Abreu,josé antonio abreu,JS ANTN ABR,HHOW2ZEY1 AE0NTOW1NIY0OW0 AH0BRUW1
José Antonio Camacho,josé antonio camacho,JS ANTN KMX,HHOW2ZEY1 AE0NTOW1NIY0OW0 KAH0MAA1CHOW0
José Antonio Dorado,josé antonio dorado,JS ANTN TRT,HHOW2ZEY1 AE0NTOW1NIY0OW0 DAO0RAA1DOW0
José Antonio Primo de Rivera,josé antonio primo de rivera,JS ANTN PRM T RFR,HHOW2ZEY1 AE0NTOW1NIY0OW0 PRIY1MOW2 DIY1 RIH0VEH1RAH0
José Antonio Reyes,josé antonio reyes,JS ANTN RYS,HHOW2ZEY1 AE0NTOW1NIY0OW0 REY1IH0S
José Carlos Ruiz,josé carlos ruiz,JS KRLS RS,HHOW2ZEY1 KAA1RLOW0S RUW0WIY1Z
José Celso Barbosa,josé celso barbosa,JS SLS BRBS,HHOW2ZEY1 SEH1LSOW0 BAA0RBOW1SAH0
José Clemente Orozco,josé clemente orozco,JS KLMNT ORSK,HHOW2ZEY1 KLAH0MEH1NTEY0 AO0ROW1ZKOW0
José Eduardo Agualusa,josé eduardo agualusa,JS ETRT AKLS,HHOW2ZEY1 EH0DWAA1RDOW0 AA0GWAA0CHUW1LAH0
José Eduardo dos Santos,josé eduardo dos santos,JS ETRT TS SNTS,HHOW2ZEY1 EH0DWAA1RDOW0 DAO1S SAE1NTOW0S
José Francisco Torres,josé francisco torres,JS FRNSSK TRS,HHOW2ZEY1 FRAE0NSIH1SKOW0 TAO1REH2Z
José Froilán González,josé froilán gonzález,JS FRLN KNSLS,HHOW2ZEY1 FROY1LAH0N GAA0NZAA1LAH0Z
José Gonzalo Rodríguez Gacha,josé gonzalo rodríguez gacha,JS KNSL RTRKS KX,HHOW2ZEY1 GAA0NZAA1LOW0 RAA0DRIY1GEH0Z GAE1CHAH0
José Gregorio Hernández,josé gregorio hernández,JS KRKR HRNNTS,HHOW2ZEY1 GRIH0GAO1RIY0OW0 HHER0NAE1NDEH0Z
José Guadalupe Posada,josé guadalupe posada,JS KTLP PST,HHOW2ZEY1 GWAA2DAH0LUW1P POW0SAA1DAH0
José Guillermo Cortines,josé guillermo cortines,JS KLRM KRTNS,HHOW2ZEY1 GWIH0LYEH1RMOW0 KAO0RTIY1NZ
José Joaquín Rojas,josé joaquín rojas,JS JKN RJS,HHOW2ZEY1 WAA2KIY1N ROW1HHAA0S
José Luis Castillo,josé luis castillo,JS LS KSTL,HHOW2ZEY1 LUW0IY1S KAE2STIY1OW0
José Luis Chilavert,josé luis chilavert,JS LS XLFRT,HHOW2ZEY1 LUW0IY1S CHIH1LAH0VER0T
José Luis Cuevas,josé luis cuevas,JS LS KFS,HHOW2ZEY1 LUW0IY1S KWEH1VAA0Z
José Luis Mendilibar,josé luis mendilibar,JS LS MNTLBR,HHOW2ZEY1 LUW0IY1S MEH0NDIH1LIH0BER0
José Luis Perales,josé luis perales,JS LS PRLS,HHOW2ZEY1 LUW0IY1S PER0AA1LEH0S
José Luis Reséndez,josé luis reséndez,JS LS RSNTS,HHOW2ZEY1 LUW0IY1S REY0SEY1NDEH0Z
José Luis Rodríguez Zapatero,josé luis rodríguez zapatero,JS LS RTRKS SPTR,HHOW2ZEY1 LUW0IY1S RAA0DRIY1GEH0Z ZAA0PAA0TROW1
José Luis de Vilallonga,josé luis de vilallonga,JS LS T FLLNK,HHOW2ZEY1 LUW0IY1S DIY1 VIY0LAA0LAO1NGGAH0
José M. Hernández,josé m. hernández,JS M HRNNTS,HHOW2ZEY1 EH1M . HHER0NAE1NDEH0Z
José Manuel Casado,josé manuel casado,JS MNL KST,HHOW2ZEY1 MAA0NWEH1L KAA0SAA1DOW0
José Manuel Jurado,josé manuel jurado,JS MNL JRT,HHOW2ZEY1 MAA0NWEH1L YUH0RAA1DOW0
José Manuel de la Torre,josé manuel de la torre,JS MNL T L TR,HHOW2ZEY1 MAA0NWEH1L DIY1 LAA1 TAO1R
José Mari Bakero,josé mari bakero,JS MR BKR,HHOW2ZEY1 MAA1RIY0 BAA0KEH1ROW0
José María Arguedas,josé maría arguedas,JS MR ARKTS,HHOW2ZEY1 MER0IY1AH0 AA0RGIY1DAH0Z
José María Aznar,josé maría aznar,JS MR ASNR,HHOW2ZEY1 MER0IY1AH0 AE1ZNER0
José María Basanta,josé maría basanta,JS MR BSNT,HHOW2ZEY1 MER0IY1AH0 BAA0SAA1NTAH0
José María López,josé maría lópez,JS MR LPS,HHOW2ZEY1 MER0IY1AH0 LOW1PEH0Z
José María Olazábal,josé maría olazábal,JS MR OLSBL,HHOW2ZEY1 MER0IY1AH0 AO2LAH0ZAA1BAH0L
José María Torre,josé maría torre,JS MR TR,HHOW2ZEY1 MER0IY1AH0 TAO1R
José María Vargas Vila,josé maría vargas vila,JS MR FRKS FL,HHOW2ZEY1 MER0IY1AH0 VAA1RGAH0S VIY1LAH0
José Ortega y Gasset,josé ortega y gasset,JS ORTK KST,HHOW2ZEY1 AO0RTEY1GAH0 WAY1 GAE1SIH0T
José P. Laurel,josé p. laurel,JS P LRL,HHOW2ZEY1 PIY1 . LAO1RAH0L
José Raúl Capablanca,josé raúl capablanca,JS RL KPBLNK,HHOW2ZEY1 RAO1L KAH0PAE1KAH0NBLAH0K
José Salomón Rondón,josé salomón rondón,JS SLMN RNTN,HHOW2ZEY1 SAE1LAH0MAH0N RAA1NDAH0N
José Sánchez del Río,josé sánchez del río,JS SNXS TL R,HHOW2ZEY1 SAE1NCHEH0Z DEH1L RIY1OW0
José de Diego,josé de diego,JS T TK,HHOW2ZEY1 DIY1 DIY0EY1GOW0
José Ángel Valdés,josé ángel valdés,JS ANJL FLTS,HHOW2ZEY1 EY1NJHAH0L VAE0LDEH1Z
Jotham of Judah,jotham of judah,J0M OF JT,JHAA1THAH0M AH1V JHUW1DAH0
Joyce Carol Oates,joyce carol oates,JS KRL OTS,JHOY1S KAE1RAH0L OW1TS
Joyce Van Patten,joyce van patten,JS FN PTN,JHOY1S VAE1N PAE1TAH0N
Joyce Vincent Wilson,joyce vincent wilson,JS FNSNT WLSN,JHOY1S VIH1NSAH0NT WIH1LSAH0N
João Bernardo Vieira,joão bernardo vieira,J BRNRT FR,JHOW1OW0 BER0NAA1RDOW0 VIY0EH1RAH0
João Guimarães Rosa,joão guimarães rosa,J KMRS RS,JHOW1OW0 GIH1MER0EY2Z ROW1ZAH0
João Ramos do Nascimento,joão ramos do nascimento,J RMS T NSSMNT,JHOW1OW0 RAA1MOW0S DUW1 NAE2SIH0MEH1NTOW0
João Vieira Pinto,joão vieira pinto,J FR PNT,JHOW1OW0 VIY0EH1RAH0 PIH1NTOW2
João de Deus,joão de deus,J T TS,JHOW1OW0 DIY1 DUW1S
Juan Alberto Schiaffino,juan alberto schiaffino,JN ALBRT SXFN,WAA1N AE0LBER1TOW0 SKIY0AA1FIY0NOW0
Juan Alfonso Baptista,juan alfonso baptista,JN ALFNS BPTST,WAA1N AE2LFAA1NSOW0 BAE2PTIH1STAH0
Juan Antonio Bayona,juan antonio bayona,JN ANTN BYN,WAA1N AE0NTOW1NIY0OW0 BEY1AH0NAH0
Juan Antonio Flecha,juan antonio flecha,JN ANTN FLX,WAA1N AE0NTOW1NIY0OW0 FLEH1KAH0
Juan Antonio Pizzi,juan antonio pizzi,JN ANTN PS,WAA1N AE0NTOW1NIY0OW0 PIH1ZIY0
Juan Camilo Zúñiga,juan camilo zúñiga,JN KML SNK,WAA1N KAA0MIY1LOW0 ZUW0NIY1GAH0
Juan Carlos Alvarado,juan carlos alvarado,JN KRLS ALFRT,WAA1N KAA1RLOW0S AE2LVER0AA1DOW0
Juan Carlos Ferrero,juan carlos ferrero,JN KRLS FRR,WAA1N KAA1RLOW0S FEH0REH1ROW0
Juan Carlos Ferreyra,juan carlos ferreyra,JN KRLS FRR,WAA1N KAA1RLOW0S FEH0REY1RAH0
Juan Carlos Fresnadillo,juan carlos fresnadillo,JN KRLS FRSNTL,WAA1N KAA1RLOW0S FREH2SNDIY0AA1LOW0
Juan Carlos Onetti,juan carlos onetti,JN KRLS ONT,WAA1N KAA1RLOW0S OW0NEH1TIY0
Juan Carlos Ramírez Abadía,juan carlos ramírez abadía,JN KRLS RMRS ABT,WAA1N KAA1RLOW0S RAH0MIH1REH0Z AH0BAE1DIY0AH0
Juan Carlos Valenzuela,juan carlos valenzuela,JN KRLS FLNSL,WAA1N KAA1RLOW0S VAA0LEH0NZUW1LAH0
Juan Carlos Valerón,juan carlos valerón,JN KRLS FLRN,WAA1N KAA1RLOW0S VAE1LER0AH0N
Juan Diego Botto,juan diego botto,JN TK BT,WAA1N DIY0EY1GOW0 BAA1TOW0
Juan Diego Flórez,juan diego flórez,JN TK FLRS,WAA1N DIY0EY1GOW0 FLAO0REH1Z
Juan Diego Solanas,juan diego solanas,JN TK SLNS,WAA1N DIY0EY1GOW0 SAH0LAA1NAH0Z
Juan Fernández de Alarcon,juan fernández de alarcon,JN FRNNTS T ALRKN,WAA1N FER0NAE1NDEH0Z DIY1 AH0LAA1RKAA2N
Juan García Ábrego,juan garcía ábrego,JN KRS ABRK,WAA1N GAA2RSIY1AH0 AA0BREH1GOW0
Juan Guillermo Castillo,juan guillermo castillo,JN KLRM KSTL,WAA1N GWIH0LYEH1RMOW0 KAE2STIY1OW0
Juan Ignacio Chela,juan ignacio chela,JN IKNS XL,WAA1N IH0GNAA1SIY0OW0 CHEH1LAH0
Juan Jesús Posadas Ocampo,juan jesús posadas ocampo,JN JSS PSTS OKMP,WAA1N JHIY1ZAH0S POW0SAA1DAH0S OW0KAE1MPOW0
Juan José Cobo,juan josé cobo,JN JS KB,WAA1N HHOW2ZEY1 KOW1BOW0
Juan José Esparragoza Moreno,juan josé esparragoza moreno,JN JS ESPRKS MRN,WAA1N HHOW2ZEY1 EH2SPER0EY1GSAH0 MAO0RIY1NOW0
Juan Luis Anangonó,juan luis anangonó,JN LS ANNKN,WAA1N LUW0IY1S AE2NAH0NGGOW1NIY0
Juan Luis Guerra,juan luis guerra,JN LS KR,WAA1N LUW0IY1S GWEH1RAH0
Juan Manuel Fangio,juan manuel fangio,JN MNL FNJ,WAA1N MAA0NWEH1L FAE1NJHIY0OW0
Juan Manuel Fangio II,juan manuel fangio ii,JN MNL FNJ ,WAA1N MAA0NWEH1L FAE1NJHIY0OW0 IY1
Juan Manuel Insaurralde,juan manuel insaurralde,JN MNL INSRLT,WAA1N MAA0NWEH1L IH0NSAO1RAH0LD
Juan Manuel Martínez,juan manuel martínez,JN MNL MRTNS,WAA1N MAA0NWEH1L MAA0RTIY1NEH0Z
Juan Manuel Márquez,juan manuel márquez,JN MNL MRKS,WAA1N MAA0NWEH1L MAA0RKEH1Z
Juan Manuel Salgueiro,juan manuel salgueiro,JN MNL SLKR,WAA1N MAA0NWEH1L SAA0LGEH1ROW0
Juan Manuel Santos,juan manuel santos,JN MNL SNTS,WAA1N MAA0NWEH1L SAE1NTOW0S
Juan Manuel Torres,juan manuel torres,JN MNL TRS,WAA1N MAA0NWEH1L TAO1REH2Z
Juan Martín del Potro,juan martín del potro,JN MRTN TL PTR,WAA1N MAA1RTAH0N DEH1L POW1TROW0
Juan Miguel Zubiri,juan miguel zubiri,JN MKL SBR,WAA1N MIH0GEH1L ZAH0BIH1RIY0
Juan Pablo Colinas,juan pablo colinas,JN PBL KLNS,WAA1N PAA1BLOW0 KOW0LIY1NAH0S
Juan Pablo Di Pace,juan pablo di pace,JN PBL T PS,WAA1N PAA1BLOW0 DIY1 PEY1S
Juan Pablo Garat,juan pablo garat,JN PBL KRT,WAA1N PAA1BLOW0 GAE1RAH0T
Juan Pablo Montoya,juan pablo montoya,JN PBL MNTY,WAA1N PAA1BLOW0 MAA0NTOY1AH0
Juan Pablo Pino,juan pablo pino,JN PBL PN,WAA1N PAA1BLOW0 PIY1NOW0
Juan Pablo Raba,juan pablo raba,JN PBL RB,WAA1N PAA1BLOW0 RAA1BAH0
Juan Pablo Sorín,juan pablo sorín,JN PBL SRN,WAA1N PAA1BLOW0 SAO1RIH0N
Juan Pablo Ángel,juan pablo ángel,JN PBL ANJL,WAA1N PAA1BLOW0 EY1NJHAH0L
Juan Pedro Lanzani,juan pedro lanzani,JN PTR LNSN,WAA1N PEY1DROW0 LAA0NZAA1NIY0
Juan Ponce Enrile,juan ponce enrile,JN PNS ENRL,WAA1N POW1NSEY0 EH0NRIY1L
Juan Ponce de León,juan ponce de león,JN PNS T LN,WAA1N POW1NSEY0 DIY1 LIY1AA0N
Juan Rafael Fuentes,juan rafael fuentes,JN RFL FNTS,WAA1N RAA2FAY0EH1L FWEH1NTEY2Z
Juan Ramón Jiménez,juan ramón jiménez,JN RMN JMNS,WAA1N RAH0MOW1N HHIH2MEH1NEH2Z
Juan Ramón López Caro,juan ramón lópez caro,JN RMN LPS KR,WAA1N RAH0MOW1N LOW1PEH0Z KAA1ROW0
Juan Román Riquelme,juan román riquelme,JN RMN RKLM,WAA1N ROW1MAH0N RIH0KLUW1M
Juan Sebastián Cabal,juan sebastián cabal,JN SBSXN KBL,WAA1N SAH0BAE1SCHAH0N KAH0BAA1L
Juan Sebastián Verón,juan sebastián verón,JN SBSXN FRN,WAA1N SAH0BAE1SCHAH0N VEH1RAH0N
Juan Silveira dos Santos,juan silveira dos santos,JN SLFR TS SNTS,WAA1N SIY0LVEH1RAH0 DAO1S SAE1NTOW0S
Juan Velasco Alvarado,juan velasco alvarado,JN FLSK ALFRT,WAA1N VEH0LAA1SKOW0 AE2LVER0AA1DOW0
Juan Vicente Gómez,juan vicente gómez,JN FSNT KMS,WAA1N VIY0CHEH1NTIY0 GOW1MEH0Z
Juan de Marcos González,juan de marcos gonzález,JN T MRKS KNSLS,WAA1N DIY1 MAA1RKOW0S GAA0NZAA1LAH0Z
Juan Ángel Albín,juan ángel albín,JN ANJL ALBN,WAA1N EY1NJHAH0L AE1LBIH0N
Juana de Ibarbourou,juana de ibarbourou,JN T IBRBR,WAA1NAH0 DIY1 IH0BER0BUH1RAH0
Juanita du Plessis,juanita du plessis,JNT T PLSS,WAA0NIY1TAH0 DUW1 PLEH1SIH0S
Juba I of Numidia,juba i of numidia,JB I OF NMT,JHUW1BAH0 AY1 AH1V NUW0MIH1DIY0AH0
Judas of Galilee,judas of galilee,JTS OF KLL,JHUW1DAH0S AH1V GAE1LAH0LIY2
Jude the Apostle,jude the apostle,JT 0 APSTL,JHUW1D DHAH0 AH0PAA1SAH0L
Judith Alice Clark,judith alice clark,JT0 ALS KLRK,JHUW1DAH0TH AE1LAH0S KLAA1RK
Judith Jarvis Thomson,judith jarvis thomson,JT0 JRFS 0MSN,JHUW1DAH0TH JHAA1RVAH0S TAA1MSAH0N
Judith Lewis Herman,judith lewis herman,JT0 LWS HRMN,JHUW1DAH0TH LUW1IH0S HHER1MAH0N
Judson Pearce Morgan,judson pearce morgan,JTSN PRS MRKN,JHAH1DSAH0N PIH1RS MAO1RGAH0N
Judy Ann Santos,judy ann santos,JT AN SNTS,JHUW1DIY0 AE1N SAE1NTOW0S
Judy Baar Topinka,judy baar topinka,JT BR TPNK,JHUW1DIY0 BAA1R TAH0PIH1NGKAH0
Judy Norton Taylor,judy norton taylor,JT NRTN TLR,JHUW1DIY0 NAO1RTAH0N TEY1LER0
Jules A. Hoffmann,jules a. hoffmann,JLS A HFMN,JHUW1LZ AH0 . HHAO1FMAH0N
Jules de Jongh,jules de jongh,JLS T JNKH,JHUW1LZ DIY1 JHAO1NG
Jules-Albert de Dion,jules-albert de dion,JLSLBRT T TN,JHUW1LYAH0SLER0T DIY1 DAY1AH0N
Julia Chang Bloch,julia chang bloch,JL XNK BLX,JHUW1LYAH0 CHAE1NG BLAA1K
Julia Compton Moore,julia compton moore,JL KMPTN MR,JHUW1LYAH0 KAA1MPTAH0N MUH1R
Julia Pace Mitchell,julia pace mitchell,JL PS MXL,JHUW1LYAH0 PEY1S MIH1CHAH0L
Julia Restoin Roitfeld,julia restoin roitfeld,JL RSTN RTFLT,JHUW1LYAH0 RIH0STOY1N ROY1TFEH0LD
Julia Shammas Holter,julia shammas holter,JL XMS HLTR,JHUW1LYAH0 SHAE1MAH0S HHOW1LTER0
Julia St. John,julia st. john,JL ST JN,JHUW1LYAH0 STRIY1T . JHAA1N
Julia de Burgos,julia de burgos,JL T BRKS,JHUW1LYAH0 DIY1 BER1GOW0Z
Julia of Corsica,julia of corsica,JL OF KRSK,JHUW1LYAH0 AH1V KAO1RSIH0KAH0
Julian Lewis Jones,julian lewis jones,JLN LWS JNS,JHUW1LIY0AH0N LUW1IH0S JHOW1NZ
Julian Lloyd Webber,julian lloyd webber,JLN LT WBR,JHUW1LIY0AH0N LOY1D WEH1BER0
Julian St. Jox,julian st. jox,JLN ST JKS,JHUW1LIY0AH0N STRIY1T . JHAA1KS
Julian de Guzman,julian de guzman,JLN T KSMN,JHUW1LIY0AH0N DIY1 GAH1ZMAH0N
Julianna Rose Mauriello,julianna rose mauriello,JLN RS MRL,JHUW2LIY0AE1NAH0 ROW1Z MAO2RIY0EH1LOW0
Julie Anne Haddock,julie anne haddock,JL AN HTK,JHUW1LIY0 AE1N HHAE1DAH0K
Julie Anne San Jose,julie anne san jose,JL AN SN JS,JHUW1LIY0 AE1N SAE1N HHOW2ZEY1
Julie Caitlin Brown,julie caitlin brown,JL KTLN BRN,JHUW1LIY0 KEY1TLIH0N BRAW1N
Julie Dawn Cole,julie dawn cole,JL TN KL,JHUW1LIY0 DAO1N KOW1L
Julie K. Smith,julie k. smith,JL K SM0,JHUW1LIY0 KEY1 . SMIH1TH
Julie Marie Berman,julie marie berman,JL MR BRMN,JHUW1LIY0 MER0IY1 BER1MAH0N
Julie Nixon Eisenhower,julie nixon eisenhower,JL NKSN ESNHWR,JHUW1LIY0 NIH1KSAH0N AY1ZAH0NHHAW2ER0
Julie T. Wallace,julie t. wallace,JL T WLS,JHUW1LIY0 TIY1 . WAO1LAH0S
Julie Victoria Jones,julie victoria jones,JL FKTR JNS,JHUW1LIY0 VIH0KTAO1RIY0AH0 JHOW1NZ
Julie Wilson Nimmo,julie wilson nimmo,JL WLSN NM,JHUW1LIY0 WIH1LSAH0N NIH1MOW0
Julie du Page,julie du page,JL T PJ,JHUW1LIY0 DUW1 PEY1JH
Juliette Gordon Low,juliette gordon low,JLT KRTN L,JHUW0LIY0EH1T GAO1RDAH0N LOW1
